Date,HFRI EQUITY HEDGE (TOTAL) - TOT RETURN IND,HFRI FUND OF FUNDS COMPOSITE - TOT RETURN IND,HFRI FUND WEIGHTED HEDGE FUND - TOT RETURN IND,MSCI EM - TOT RETURN IND,MSCI EAFE - TOT RETURN IND,RUSSELL 2000 - PRICE INDEX,S&P 500 COMPOSITE - TOT RETURN IND,BARCLAYS US TREASURY BELLWETHERS 2Y - TOTAL RETURN MTD,BARCLAYS US TREASURY BELLWETHERS 10Y - TOTAL RETURN MTD,Barclay Currency Traders Index - TOT RETURN IND
1996-01-31,0.011,0.027,0.029,0.076,0.037,-0.002,0.034,0.009,0.004,0.051
1996-02-29,0.028,-0.006,0.012,-0.006,-0.01,0.03,0.009,-0.005,-0.036,-0.037
1996-03-29,0.019,0.01,0.015,0.011,0.028,0.018,0.01,-0.002,-0.011,-0.003
1996-04-30,0.053,0.031,0.04,0.052,0.035,0.053,0.015,0,-0.017,0.045
1996-05-31,0.037,0.015,0.031,0.001,-0.012,0.039,0.026,0.002,-0.006,-0.014
1996-06-28,-0.007,0.004,0.002,0.009,0.01,-0.042,0.004,0.008,0.015,-0.003
1996-07-31,-0.029,-0.019,-0.021,-0.062,-0.049,-0.088,-0.044,0.004,0,-0.01
1996-08-30,0.026,0.015,0.023,0.026,0.009,0.057,0.021,0.004,-0.005,-0.014
1996-09-30,0.022,0.012,0.021,0.014,0.046,0.037,0.056,0.009,0.022,0.009
1996-10-31,0.016,0.016,0.01,-0.014,-0.012,-0.017,0.028,0.012,0.029,0.041
1996-11-29,0.017,0.023,0.021,0.017,0.04,0.04,0.076,0.008,0.028,0.004
1996-12-31,0.008,0.007,0.013,0.01,-0.007,0.024,-0.02,0,-0.021,0
1997-01-31,0.028,0.035,0.032,0.069,0.015,0.019,0.062,0.005,-0.001,0.045
1997-02-28,-0.002,0.017,0.01,0.046,0.024,-0.025,0.008,0.002,-0.001,0.02
1997-03-31,-0.007,-0.008,-0.016,-0.025,0.005,-0.049,-0.041,-0.001,-0.021,-0.009
1997-04-30,-0.003,0.004,-0.001,0.01,0.03,0.001,0.06,0.008,0.02,0.009
1997-05-30,0.05,0.018,0.044,0.03,0.029,0.11,0.061,0.007,0.011,-0.022
1997-06-30,0.02,0.025,0.027,0.06,0.054,0.041,0.045,0.007,0.017,0.007
1997-07-31,0.05,0.046,0.039,0.043,0.052,0.046,0.08,0.012,0.041,0.037
1997-08-29,0.013,-0.003,0.003,-0.108,-0.073,0.022,-0.056,0.001,-0.021,-0.007
1997-09-30,0.057,0.028,0.037,0.043,0.051,0.072,0.055,0.007,0.022,-0.007
1997-10-31,0.004,-0.014,-0.015,-0.137,-0.094,-0.045,-0.033,0.008,0.026,0.001
1997-11-28,-0.009,-0.005,-0.009,-0.017,0.018,-0.008,0.046,0.001,0.003,0.024
1997-12-31,0.014,0.01,0.009,0.057,0.032,0.017,0.017,0.007,0.013,0.013
1998-01-30,-0.002,-0.01,-0.007,-0.052,0.048,-0.016,0.011,0.01,0.021,-0.001
1998-02-27,0.041,0.019,0.033,0.082,0.057,0.074,0.072,0,-0.007,-0.022
1998-03-31,0.045,0.04,0.03,0.047,0.051,0.041,0.051,0.004,0.001,0.031
1998-04-30,0.014,0.009,0.01,-0.008,-0.007,0.005,0.01,0.005,0.004,-0.012
1998-05-29,-0.013,-0.009,-0.021,-0.119,0.009,-0.054,-0.017,0.005,0.011,0.029
1998-06-30,0.005,-0.006,-0.001,-0.075,0.011,0.002,0.041,0.005,0.013,0.013
1998-07-31,-0.007,-0.002,-0.008,0.031,0.016,-0.082,-0.011,0.005,0,-0.001
1998-08-31,-0.077,-0.075,-0.087,-0.266,-0.135,-0.195,-0.145,0.014,0.039,0.003
1998-09-30,0.032,-0.026,0.007,0.061,-0.066,0.076,0.064,0.014,0.051,0.008
1998-10-30,0.025,-0.02,0.012,0.081,0.063,0.04,0.081,0.005,-0.01,0.031
1998-11-30,0.038,0.014,0.037,0.081,0.079,0.052,0.061,-0.003,-0.017,-0.012
1998-12-31,0.054,0.016,0.028,-0.014,0.013,0.061,0.058,0.003,-0.017,-0.01
1999-01-29,0.05,0.014,0.022,0.049,0.022,0.012,0.042,0.002,-0.017,0.003
1999-02-26,-0.024,-0.002,-0.013,0.022,0.003,-0.082,-0.031,-0.006,-0.043,0.023
1999-03-31,0.04,0.021,0.031,0.111,0.047,0.014,0.04,0.007,0.007,0.01
1999-04-30,0.053,0.033,0.045,0.112,0.052,0.088,0.039,0.002,-0.004,0.019
1999-05-31,0.012,0.008,0.007,0.007,-0.039,0.014,-0.024,-0.002,-0.021,-0.007
1999-06-30,0.038,0.028,0.036,0.103,0.046,0.043,0.055,0.003,-0.009,-0.01
1999-07-30,0.006,0.007,0.005,-0.019,-0.007,-0.028,-0.031,0.003,-0.003,-0.013
1999-08-31,0,0.001,0,0.016,0.001,-0.038,-0.005,0.003,-0.005,0.011
1999-09-30,0.003,-0.001,0.002,-0.024,-0.007,-0.001,-0.027,0.007,0.011,-0.001
1999-10-29,0.023,0.013,0.016,0.022,0.039,0.003,0.063,0.001,-0.004,-0.014
1999-11-30,0.068,0.049,0.051,0.089,0.055,0.059,0.02,0.001,-0.006,0.018
1999-12-31,0.109,0.068,0.076,0.114,0.089,0.112,0.059,0.001,-0.014,-0.006
2000-01-31,0.003,0.015,0.006,0.008,-0.04,-0.017,-0.05,-0.001,-0.01,0.002
2000-02-29,0.1,0.052,0.062,0.013,0.048,0.164,-0.019,0.006,0.014,-0.001
2000-03-31,0.017,0.002,0.009,0.002,0.02,-0.067,0.098,0.006,0.035,-0.01
2000-04-28,-0.042,-0.034,-0.028,-0.078,-0.013,-0.061,-0.03,0.001,-0.01,0.002
2000-05-31,-0.024,-0.016,-0.02,-0.029,-0.023,-0.059,-0.021,0.005,0.001,0.001
2000-06-30,0.048,0.028,0.037,0.031,0.014,0.086,0.025,0.011,0.024,-0.009
2000-07-31,-0.016,-0.002,-0.006,-0.049,-0.014,-0.032,-0.016,0.006,0.005,-0.005
2000-08-31,0.054,0.02,0.038,0.008,0.028,0.074,0.062,0.007,0.016,0.005
2000-09-29,-0.011,-0.012,-0.012,-0.076,-0.043,-0.031,-0.053,0.008,-0.001,0.001
2000-10-31,-0.02,-0.01,-0.018,-0.051,0.002,-0.045,-0.004,0.006,0.008,0.016
2000-11-30,-0.043,-0.015,-0.035,-0.078,-0.041,-0.104,-0.079,0.01,0.027,0
2000-12-29,0.032,0.014,0.021,0.019,-0.006,0.084,0.005,0.012,0.029,0.042
2001-01-31,0.029,0.019,0.034,0.138,0.014,0.051,0.035,0.013,0.002,0.006
2001-02-28,-0.026,-0.007,-0.022,-0.068,-0.063,-0.067,-0.091,0.006,0.013,-0.001
2001-03-30,-0.023,-0.004,-0.016,-0.078,-0.029,-0.05,-0.063,0.007,0.003,0.04
2001-04-30,0.023,0.007,0.02,0.047,0.063,0.077,0.078,0.002,-0.026,-0.01
2001-05-31,0.009,0.009,0.012,0.023,-0.022,0.023,0.007,0.006,-0.001,0.008
2001-06-29,-0.003,-0.001,0.003,-0.017,-0.026,0.033,-0.024,0.002,0.005,-0.005
2001-07-31,-0.011,-0.004,-0.008,-0.053,-0.036,-0.055,-0.01,0.012,0.032,-0.021
2001-08-31,-0.012,0.002,-0.004,-0.007,-0.058,-0.033,-0.063,0.007,0.014,0.008
2001-09-28,-0.037,-0.016,-0.028,-0.134,-0.104,-0.136,-0.081,0.018,0.024,-0.006
2001-10-31,0.019,0.009,0.02,0.065,0.039,0.058,0.019,0.01,0.028,-0.009
2001-11-30,0.02,0.004,0.021,0.101,0.045,0.076,0.077,-0.004,-0.032,-0.012
2001-12-31,0.02,0.011,0.017,0.095,0.017,0.06,0.009,0,-0.018,0.03
2002-01-31,0.002,0.005,0.004,0.04,-0.027,-0.011,-0.015,0.002,0.005,-0.001
2002-02-28,-0.009,-0.003,-0.007,0.019,0.004,-0.028,-0.019,0.005,0.011,-0.019
2002-03-29,0.02,0.008,0.019,0.056,0.045,0.079,0.038,-0.009,-0.037,-0.023
2002-04-30,0.002,0.006,0.003,-0.002,-0.021,0.008,-0.061,0.013,0.03,0
2002-05-31,0,0.004,0,-0.029,-0.014,-0.045,-0.007,0.004,0.008,0.046
2002-06-28,-0.026,-0.009,-0.019,-0.064,-0.079,-0.051,-0.071,0.01,0.021,0.064
2002-07-31,-0.039,-0.013,-0.029,-0.065,-0.101,-0.152,-0.078,0.015,0.032,-0.007
2002-08-30,0.003,0.003,0.005,0.013,-0.002,-0.004,0.007,0.004,0.03,-0.013
2002-09-30,-0.02,-0.004,-0.015,-0.082,-0.109,-0.073,-0.109,0.01,0.047,-0.003
2002-10-31,0.006,-0.002,0.006,0.048,0.055,0.031,0.088,0.002,-0.021,-0.007
2002-11-29,0.027,0.008,0.021,0.053,0.045,0.088,0.059,-0.005,-0.021,-0.005
2002-12-31,-0.011,0.007,-0.002,-0.047,-0.072,-0.057,-0.059,0.011,0.036,0.034
2003-01-31,0,0.008,0.007,-0.006,-0.055,-0.029,-0.026,0,-0.008,0.019
2003-02-28,-0.008,0.003,0,-0.028,-0.018,-0.031,-0.015,0.006,0.026,-0.002
2003-03-31,-0.001,0,0.001,-0.029,-0.023,0.011,0.01,0.002,-0.007,0
2003-04-30,0.024,0.012,0.026,0.05,0.086,0.094,0.082,0.002,0,0.019
2003-05-30,0.041,0.021,0.036,0.082,0.029,0.106,0.053,0.005,0.046,0.038
2003-06-30,0.015,0.007,0.013,0.043,0.035,0.017,0.013,0.002,-0.012,-0.007
2003-07-31,0.024,0.002,0.013,0.063,0.043,0.062,0.018,-0.007,-0.071,-0.027
2003-08-29,0.024,0.008,0.018,0.067,0.032,0.045,0.02,0,0.011,-0.007
2003-09-30,0.008,0.012,0.012,-0.011,-0.021,-0.02,-0.011,0.011,0.046,0.017
2003-10-31,0.031,0.015,0.024,0.089,0.052,0.083,0.057,-0.005,-0.025,0.014
2003-11-28,0.011,0.006,0.011,0.01,0.003,0.035,0.009,-0.001,0.004,0.011
2003-12-31,0.019,0.015,0.019,0.069,0.036,0.019,0.052,0.007,0.008,0.034
2004-01-30,0.02,0.016,0.02,0.038,0.014,0.043,0.018,0.003,0.014,0.013
2004-02-27,0.011,0.011,0.012,0.038,0.025,0.008,0.014,0.006,0.017,0.004
2004-03-31,0.004,0.005,0.005,-0.002,0.001,0.008,-0.015,0.003,0.015,-0.011
2004-04-30,-0.021,-0.009,-0.015,-0.058,0.014,-0.052,-0.016,-0.011,-0.048,-0.016
2004-05-31,-0.002,-0.009,-0.003,-0.023,-0.013,0.015,0.014,-0.002,-0.007,-0.012
2004-06-30,0.011,0.002,0.008,-0.002,0.025,0.041,0.019,-0.001,0.007,-0.011
2004-07-30,-0.019,-0.006,-0.01,-0.016,-0.023,-0.068,-0.033,0.004,0.015,-0.007
2004-08-31,-0.004,0,0.001,0.046,-0.001,-0.006,0.004,0.008,0.031,-0.011
2004-09-30,0.02,0.009,0.016,0.048,0.015,0.046,0.011,-0.001,0.004,0.002
2004-10-29,0.005,0.008,0.008,0.007,0.009,0.019,0.015,0.004,0.011,0.02
2004-11-30,0.034,0.025,0.028,0.052,0.026,0.086,0.04,-0.006,-0.022,0.041
2004-12-31,0.018,0.015,0.016,0.031,0.033,0.028,0.034,0.002,0.015,0.012
2005-01-31,-0.006,0,-0.002,0.011,0.008,-0.042,-0.024,-0.001,0.01,-0.027
2005-02-28,0.021,0.014,0.018,0.071,0.029,0.016,0.021,-0.003,-0.015,0
2005-03-31,-0.011,-0.006,-0.009,-0.047,-0.003,-0.03,-0.018,0,-0.007,-0.005
2005-04-29,-0.022,-0.014,-0.015,-0.036,-0.027,-0.058,-0.019,0.006,0.028,-0.005
2005-05-31,0.016,0.002,0.01,0.045,0.042,0.064,0.032,0.004,0.017,0.015
2005-06-30,0.02,0.014,0.016,0.038,0.034,0.037,0.001,0.002,0.008,0.017
2005-07-29,0.029,0.017,0.023,0.068,0.037,0.063,0.037,-0.004,-0.023,-0.001
2005-08-31,0.007,0.008,0.008,0.014,0.012,-0.019,-0.009,0.007,0.023,-0.014
2005-09-30,0.023,0.015,0.019,0.087,0.062,0.002,0.008,-0.003,-0.021,0
2005-10-31,-0.019,-0.014,-0.014,-0.055,-0.019,-0.032,-0.017,0,-0.014,0.005
2005-11-30,0.021,0.017,0.017,0.074,0.045,0.047,0.038,0.003,0.005,0.015
2005-12-30,0.023,0.02,0.018,0.055,0.045,-0.006,0,0.004,0.012,-0.012
2006-01-31,0.04,0.029,0.035,0.082,0.035,0.089,0.026,0.001,-0.007,-0.001
2006-02-28,0,0.004,0.005,0,0.009,-0.003,0.003,0.001,-0.002,-0.007
2006-03-31,0.025,0.017,0.02,0.014,0.037,0.047,0.012,0.001,-0.02,-0.005
2006-04-28,0.018,0.018,0.019,0.053,0.006,-0.001,0.013,0.003,-0.012,0.006
2006-05-31,-0.023,-0.019,-0.016,-0.078,-0.057,-0.057,-0.029,0.001,-0.001,0.003
2006-06-30,-0.005,-0.006,-0.002,0.001,0.011,0.005,0.001,0.002,0.003,-0.009
2006-07-31,-0.005,-0.002,-0.002,0.011,0.007,-0.033,0.006,0.008,0.016,-0.004
2006-08-31,0.01,0.008,0.01,0.029,0.029,0.029,0.024,0.007,0.022,0.004
2006-09-29,0.002,0,0.002,0.014,0.014,0.007,0.026,0.005,0.012,-0.009
2006-10-31,0.019,0.017,0.018,0.035,0.026,0.057,0.033,0.004,0.006,-0.001
2006-11-30,0.02,0.019,0.021,0.065,0.001,0.025,0.019,0.005,0.014,0.016
2006-12-29,0.013,0.018,0.015,0.04,0.043,0.002,0.014,0,-0.016,0.005
2007-01-31,0.012,0.013,0.011,-0.003,0.019,0.016,0.015,0.002,-0.005,0.005
2007-02-28,0.006,0.008,0.007,-0.007,-0.005,-0.009,-0.02,0.009,0.024,-0.005
2007-03-30,0.01,0.01,0.01,0.033,0.02,0.009,0.011,0.004,-0.004,-0.001
2007-04-30,0.019,0.017,0.018,0.034,0.03,0.017,0.044,0.003,0.005,0.008
2007-05-31,0.022,0.021,0.02,0.04,0.033,0.04,0.035,-0.002,-0.017,-0.002
2007-06-29,0.009,0.007,0.007,0.047,-0.002,-0.016,-0.017,0.005,-0.007,0.007
2007-07-31,0.002,0.003,0.001,0.049,-0.032,-0.069,-0.031,0.009,0.025,-0.003
2007-08-31,-0.017,-0.022,-0.015,-0.009,-0.014,0.022,0.015,0.011,0.021,-0.001
2007-09-28,0.032,0.022,0.027,0.084,0.023,0.016,0.037,0.007,0.001,0.008
2007-10-31,0.031,0.031,0.028,0.09,0.024,0.028,0.016,0.004,0.012,0.01
2007-11-30,-0.029,-0.015,-0.022,-0.062,-0.041,-0.073,-0.042,0.019,0.042,0.001
2007-12-31,0.005,0.004,0.005,0.006,-0.012,-0.002,-0.007,0.002,-0.002,-0.002
2008-01-31,-0.045,-0.029,-0.027,-0.124,-0.109,-0.069,-0.06,0.019,0.035,-0.002
2008-02-29,0.013,0.014,0.015,0.061,-0.007,-0.038,-0.032,0.012,0.011,0.009
2008-03-31,-0.028,-0.027,-0.022,-0.042,-0.038,0.003,-0.004,0.002,0.011,0.009
2008-04-30,0.024,0.01,0.016,0.073,0.076,0.041,0.049,-0.011,-0.024,-0.004
2008-05-30,0.024,0.017,0.019,0.019,0.014,0.045,0.013,-0.004,-0.02,0.002
2008-06-30,-0.024,-0.009,-0.013,-0.099,-0.089,-0.078,-0.084,0.003,0.008,-0.004
2008-07-31,-0.028,-0.027,-0.023,-0.05,-0.02,0.036,-0.008,0.005,0.004,-0.002
2008-08-29,-0.022,-0.015,-0.014,-0.048,0.01,0.035,0.014,0.006,0.018,0.001
2008-09-30,-0.081,-0.065,-0.061,-0.124,-0.121,-0.081,-0.089,0.01,0.002,0.003
2008-10-31,-0.095,-0.062,-0.068,-0.223,-0.155,-0.209,-0.168,0.011,-0.008,0.014
2008-11-28,-0.038,-0.026,-0.027,-0.04,-0.047,-0.12,-0.072,0.013,0.09,0.003
2008-12-31,0.002,-0.015,0.002,0.046,0.012,0.056,0.011,0.007,0.063,0.006
2009-01-30,-0.009,0.007,-0.001,-0.029,-0.062,-0.112,-0.084,-0.002,-0.046,0
2009-02-27,-0.022,-0.004,-0.012,-0.028,-0.076,-0.123,-0.106,-0.001,-0.013,-0.002
2009-03-31,0.029,0,0.017,0.105,0.039,0.087,0.088,0.006,0.033,-0.002
2009-04-30,0.054,0.011,0.036,0.122,0.116,0.153,0.096,-0.001,-0.034,-0.003
2009-05-29,0.064,0.033,0.051,0.125,0.054,0.029,0.056,0.002,-0.027,0.011
2009-06-30,0.002,0.004,0.002,-0.013,-0.003,0.013,0.002,-0.002,-0.002,-0.002
2009-07-31,0.032,0.015,0.025,0.099,0.077,0.095,0.076,0.002,0.005,0.001
2009-08-31,0.014,0.011,0.013,0.001,0.044,0.028,0.036,0.004,0.01,-0.002
2009-09-30,0.032,0.017,0.028,0.063,0.022,0.056,0.037,0.002,0.011,0.007
2009-10-30,-0.007,-0.001,-0.002,-0.004,-0.023,-0.069,-0.019,0.003,-0.004,0.003
2009-11-30,0.016,0.008,0.015,0.033,0.002,0.03,0.06,0.006,0.018,0.001
2009-12-31,0.021,0.008,0.013,0.042,0.056,0.079,0.019,-0.008,-0.049,-0.003
2010-01-29,-0.013,-0.004,-0.008,-0.044,-0.034,-0.037,-0.036,0.008,0.022,0.001
2010-02-26,0.009,0.001,0.007,-0.001,0.005,0.044,0.031,0.002,0.005,0.003
2010-03-31,0.032,0.017,0.025,0.062,0.075,0.08,0.06,-0.003,-0.017,0.007
2010-04-30,0.012,0.009,0.012,0.001,-0.012,0.056,0.016,0.003,0.017,0.007
2010-05-31,-0.04,-0.026,-0.029,-0.052,-0.072,-0.077,-0.08,0.005,0.032,0.008
2010-06-30,-0.018,-0.009,-0.01,-0.005,-0.028,-0.079,-0.052,0.004,0.032,-0.005
2010-07-30,0.024,0.008,0.016,0.062,0.047,0.068,0.07,0.002,0.006,0.006
2010-08-31,-0.014,0.001,-0.001,-0.014,-0.027,-0.075,-0.045,0.002,0.04,-0.007
2010-09-30,0.047,0.023,0.035,0.077,0.052,0.123,0.089,0.002,-0.001,0.011
2010-10-29,0.024,0.015,0.021,0.023,0.018,0.04,0.038,0.002,-0.006,0.005
2010-11-30,0.006,-0.001,0.002,-0.011,-0.01,0.034,0,-0.002,-0.01,-0.008
2010-12-31,0.035,0.022,0.029,0.045,0.048,0.078,0.067,-0.002,-0.04,0.006
2011-01-31,0.004,0.001,0.004,-0.021,0.016,-0.003,0.024,0.002,-0.004,-0.007
2011-02-28,0.013,0.008,0.012,-0.014,0.024,0.054,0.034,-0.001,0,-0.002
2011-03-31,0.005,-0.001,0.001,0.043,-0.028,0.024,0,-0.001,0,0.011
2011-04-29,0.013,0.012,0.015,0.008,0.02,0.026,0.03,0.005,0.016,0.017
2011-05-31,-0.013,-0.011,-0.012,-0.016,-0.013,-0.02,-0.011,0.004,0.027,-0.009
2011-06-30,-0.013,-0.013,-0.012,-0.019,-0.012,-0.025,-0.017,0.001,-0.007,-0.008
2011-07-29,-0.003,0.004,0.002,-0.009,-0.035,-0.037,-0.02,0.002,0.033,0.006
2011-08-31,-0.049,-0.026,-0.032,-0.073,-0.087,-0.088,-0.054,0.004,0.057,-0.012
2011-09-30,-0.06,-0.028,-0.039,-0.074,-0.043,-0.114,-0.07,-0.001,0.028,0.014
2011-10-31,0.049,0.011,0.027,0.091,0.062,0.15,0.109,0,-0.02,0
2011-11-30,-0.02,-0.01,-0.013,-0.038,-0.025,-0.005,-0.002,0,0.013,0.01
2011-12-30,-0.009,-0.004,-0.004,0,0.005,0.005,0.01,0,0.02,0.003
2012-01-31,0.038,0.019,0.026,0.074,0.039,0.07,0.045,0.001,0.008,0