,Mkt-RF,SMB,HML,RF
20220103,0.0073,0.0032,0.0079,0
20220104,-0.0029,-0.0081,0.0362,0
20220105,-0.0228,-0.0146,0.026,0
20220106,0,0.0021,0.0175,0
20220107,-0.0048,-0.0132,0.0202,0
20220110,-0.0015,-0.0023,-0.0027,0
20220111,0.011,-0.0009,-0.0029,0
20220112,0.0012,-0.0088,0.005,0
20220113,-0.0157,0.0031,0.024,0
20220114,0.0008,0.0018,0.0053,0
20220118,-0.0208,-0.0103,0.0138,0
20220119,-0.0101,-0.0032,-0.0068,0
20220120,-0.0114,-0.0086,-0.0023,0
20220121,-0.021,0.0028,0.0048,0
20220124,0.0053,0.0182,-0.0026,0
20220125,-0.0143,-0.0062,0.0279,0
20220126,-0.003,-0.0109,0.001,0
20220127,-0.0079,-0.0164,0.0078,0
20220128,0.0245,-0.0014,-0.0207,0
20220131,0.0234,0.013,-0.0285,0
20220201,0.0087,0.0005,0.0066,0
20220202,0.0048,-0.0173,0.0071,0
20220203,-0.0249,-0.0006,0.022,0
20220204,0.0089,-0.0002,-0.0059,0
20220207,-0.0025,0.0052,0.0023,0
20220208,0.0102,0.0069,-0.0028,0
20220209,0.0161,0.0022,-0.0196,0
20220210,-0.0169,-0.0015,0.0123,0
20220211,-0.0192,0.006,0.0212,0
20220214,-0.0035,0.0022,-0.0059,0
20220215,0.0187,0.0133,-0.0142,0
20220216,-0.0002,-0.0009,0.0031,0
20220217,-0.0228,-0.0027,0.011,0
20220218,-0.0087,-0.0009,0.0093,0
20220222,-0.0118,-0.0049,0.0011,0
20220223,-0.0196,-0.002,0.0125,0
20220224,0.0189,0.015,-0.0386,0
20220225,0.0223,-0.0042,0.0122,0
20220228,0.0005,0.0064,-0.005,0
20220301,-0.0156,-0.001,-0.0083,0
20220302,0.0181,0.0044,0.0133,0
20220303,-0.0088,-0.0057,0.0151,0
20220304,-0.011,-0.0066,0.0068,0
20220307,-0.0312,0.0058,0.009,0
20220308,-0.0052,0.01,0.0033,0
20220309,0.028,0.0033,-0.0209,0
20220310,-0.0047,0.0012,0.0116,0
20220311,-0.0149,-0.0044,0.0179,0
20220314,-0.0106,-0.0132,0.0176,0
20220315,0.0215,-0.0013,-0.0239,0
20220316,0.0261,0.0079,-0.0182,0
20220317,0.0143,0.0028,-0.0109,0
20220318,0.0133,0.0027,-0.0186,0
20220321,-0.0018,-0.0111,0.0159,0
20220322,0.0131,0.0003,-0.0115,0
20220323,-0.0126,-0.0064,0.0037,0
20220324,0.0142,-0.0008,-0.0079,0
20220325,0.0027,-0.0059,0.0217,0
20220328,0.0073,-0.0055,-0.0169,0
20220329,0.0145,0.0154,-0.0192,0
20220330,-0.0083,-0.0128,0.0039,0
20220331,-0.0155,0.0071,-0.0044,0
20220401,0.0039,0.0068,-0.0058,0
20220404,0.0094,-0.0005,-0.0187,0
20220405,-0.0154,-0.0097,0.0084,0
20220406,-0.0124,-0.0066,0.0109,0
20220407,0.0033,-0.0061,-0.0013,0
20220408,-0.0039,-0.01,0.0224,0
20220411,-0.0153,0.0029,0.0107,0
20220412,-0.0029,0.0055,0.0045,0
20220413,0.014,0.009,-0.0071,0
20220414,-0.0128,0.0002,0.0141,0
20220418,-0.0021,-0.0081,0.018,0
20220419,0.0177,0.0059,-0.0095,0
20220420,-0.0028,0.002,0.0125,0
20220421,-0.0175,-0.0071,0.0041,0
20220422,-0.0274,0.0029,-0.0016,0
20220425,0.0071,0.0045,-0.0184,0
20220426,-0.03,-0.0066,0.0179,0
20220427,0.0012,-0.006,0.0033,0
20220428,0.0244,-0.0018,-0.0045,0
20220429,-0.0353,0.0075,0.0058,0
20220502,0.008,0.0059,-0.0115,0
20220503,0.0041,-0.0017,0.0162,0
20220504,0.03,-0.0046,0.0025,0
20220505,-0.038,-0.0078,0.0237,0
20220506,-0.0085,-0.0131,0.0177,0
20220509,-0.0354,-0.0049,0.0138,0
20220510,0.0021,-0.0023,-0.0123,0
20220511,-0.0194,-0.0112,0.0259,0
20220512,0.0017,0.0128,-0.0122,0
20220513,0.0276,0.0089,-0.022,0
20220516,-0.006,-0.0023,0.0133,0
20220517,0.0214,0.0098,-0.0005,0
20220518,-0.0404,0.0022,0.0153,0
20220519,-0.0034,0.0047,-0.008,0
20220520,-0.0005,-0.0011,-0.0018,0
20220523,0.0174,-0.0107,0.0129,0
20220524,-0.0123,-0.0094,0.0184,0
20220525,0.0122,0.0078,0.0021,0
20220526,0.0218,0.002,-0.0063,0
20220527,0.0258,0.0035,-0.013,0
20220531,-1.17453E-05,0.000251097,0.000541972,0