,Mkt,Rf,S,B,H,L,U,D
1927,33.42,3.13,30.57,33.45,33.27,38.8,38.27,15.39
1928,39.05,3.54,38.49,34.52,32.3,41.46,50.31,22.81
1929,-15.02,4.74,-36.93,-8.24,-19.85,-32.65,-21.12,-42.41
1930,-28.81,2.43,-37.82,-32.97,-44.77,-31.15,-23.22,-49.61
1931,-44.35,1.09,-47.32,-51.78,-55.06,-39.83,-35.33,-59.62
1932,-8.48,0.95,-4.72,-8.93,-0.96,-6.59,-14.08,5.47
1933,57.5,0.3,134.58,83.86,117.8,102.03,109.23,89.96
1934,4.27,0.18,20.88,-4.57,-6.5,23.48,21.12,2.92
1935,44.84,0.14,59.4,46.84,52.15,45.28,68.88,47.82
1936,32.15,0.18,53.07,37.61,60.66,31.78,45.9,39.45
1937,-34.61,0.29,-49.62,-35.7,-46.27,-41.38,-44.23,-41.39
1938,28.16,-0.04,37.8,26.15,25.71,38.51,31.53,31.11
1939,2.12,0.01,2.62,-2.67,-8.03,9.23,3.15,2.43
1940,-7.45,-0.02,-3.69,-5.07,-6.23,-4.62,-3.67,-9.41
1941,-9.63,0.04,-11.04,-6.09,-2.85,-15.01,-4.36,-13.31
1942,16.3,0.28,26.99,21.45,34.36,14.97,16.96,31.98
1943,28.06,0.36,64,33.35,67.92,33.56,55.63,41.89
1944,21.35,0.33,43.69,26.79,45.85,28.67,41.21,31.01
1945,38.45,0.32,66.21,39.96,61.84,48.12,64.3,50.01
1946,-5.9,0.36,-10.01,-6,-7.83,-10.35,-7.59,-12.64
1947,3.38,0.5,-1.84,5.67,7,-2.14,6.93,-7.4
1948,2.33,0.81,-5.63,3.34,1.4,-1.91,4.16,-8.19
1949,20.11,1.12,22.54,19.37,19.88,23.42,23.33,22.88
1950,30.03,1.22,38.48,36.47,53.69,27.06,43.63,28.07
1951,20.83,1.49,14.76,19.73,13.32,18.16,24.04,12.56
1952,13.29,1.65,8.87,15.42,14.07,10.97,15.03,6.01
1953,0.36,1.83,-2.86,-1.5,-6.98,0.81,5.49,-10.85
1954,50.17,0.86,55.8,57.75,70.38,45.5,59.49,48.98
1955,25.3,1.57,19.46,25.71,26.63,21.23,29.31,15.36
1956,8.48,2.47,6.95,7.62,4.68,7.09,16.84,-2.46
1957,-10.38,3.15,-15.8,-13.36,-19.31,-13.07,-11.29,-21.12
1958,44.83,1.53,67.36,53.09,70.99,58.42,52.53,62.41
1959,12.6,2.98,19.52,13.88,18.12,17.29,24.39,5.21
1960,1.15,2.67,-3.19,-0.78,-7.29,-2.07,7.4,-10.08
1961,26.94,2.12,27.77,27.35,29.87,24.32,33.19,22.78
1962,-10.32,2.73,-15.72,-6.48,-6.28,-16.61,-9.32,-21.26
1963,20.88,3.11,17.68,23.77,30.35,14.93,25.15,13.52
1964,16.31,3.53,16.19,17.97,21.03,11.31,19.17,14.39
1965,14.39,3.92,38.11,15.29,32.46,26.68,38.79,18.26
1966,-8.69,4.75,-6.25,-9.03,-8.99,-8.05,-1.84,-12.3
1967,28.57,4.21,76.23,25.61,49.65,58.8,68.18,45.75
1968,14.17,5.22,39.88,15.66,36.45,18.38,27.98,25.78
1969,-10.84,6.57,-24.08,-10.09,-21.12,-10.4,-13.75,-23.57
1970,0.08,6.52,-7.11,4.37,8.63,-12.95,-8.14,-4.93
1971,16.2,4.39,20.48,14.21,13.51,24.9,21.91,18.33
1972,17.34,3.84,4.81,17.05,12.95,10.86,16.92,1.5
1973,-18.75,6.93,-35.31,-11.37,-15.45,-33.43,-16.54,-45.83
1974,-27.94,8.01,-25.8,-25.2,-21.21,-30.57,-23.14,-31.53
1975,37.36,5.8,59.13,44.09,56.51,47.88,40.09,58.69
1976,26.76,5.08,48.19,34.39,51.88,27.87,37.84,30.34
1977,-2.97,5.13,20.38,-2.86,12.73,4.95,15.35,-2.6
1978,8.55,7.19,19.9,5.74,12.8,12.33,22.01,10.02
1979,24.41,10.38,41.29,20.88,30.5,32.72,48.63,21.72
1980,33.24,11.26,35.31,29.73,19.37,43.93,57.47,20.46
1981,-3.98,14.72,6.65,-0.65,15.24,-9.33,-5.35,2.97
1982,20.42,10.53,30.98,22.19,33.77,20.6,39.86,5.19
1983,22.65,8.8,36.13,22.19,37.25,18.4,21.89,31.68
1984,3.16,9.84,-1.57,7.04,11.85,-6.78,2.25,-6.77
1985,31.41,7.72,31.21,32.13,31.94,30.78,37.36,22.62
1986,15.56,6.16,8.95,18.95,18.16,8.17,17.14,8.78
1987,1.83,5.47,-7.75,2.64,-4.94,-2.41,-0.6,3.37
1988,17.56,6.36,25.39,18.67,28.36,14.58,19.38,25.25
1989,28.44,8.38,18.14,30.15,22.7,28.35,34.79,6.85
1990,-6.08,7.84,-20.17,-5.77,-18.94,-8.34,-7.63,-25.08
1991,33.65,5.6,47.44,30.94,33.96,49.03,53.55,39.16
1992,9.06,3.5,20.99,13.21,29.17,6.12,14.43,11.27
1993,11.59,2.9,20.15,12.67,24.46,7.51,27.05,3.36
1994,-0.76,3.91,-0.85,-1.25,-1.29,-1.21,-0.31,-3.57
1995,35.67,5.6,30.26,37.19,32.69,36.15,41,23.34
1996,21.16,5.2,18.44,20.3,17.03,16.81,21.82,15.7
1997,30.33,5.25,28.2,31.92,34.59,23.45,32.43,20.69
1998,22.28,4.85,-3.26,20.03,3.8,18.84,22.57,-0.95
1999,25.24,4.69,23.9,12.24,2.69,42.09,45.54,10.96
2000,-11.07,5.88,-6.76,-1.07,2.5,-18.89,-2.98,-18.08
2001,-11.26,3.86,22.2,-6.21,19.53,-7.72,5.2,0.73
2002,-20.85,1.63,-18.95,-23.31,-22.47,-26.19,-10.13,-35.72
2003,33.14,1.02,59.82,31.74,54.88,39.75,41.33,65.68
2004,13,1.19,20.54,14.22,22.75,9.54,14.09,14.54
2005,7.32,2.98,5.33,8.03,7.85,4.14,14.68,-0.76
2006,16.2,4.81,17.94,16.91,22.19,10.28,11.74,19.45
2007,7.32,4.67,-3.45,3.56,-10.83,10.72,12.02,-9.43
2008,-38.3,1.64,-39.35,-39.51,-46.71,-37.64,-36.77,-50.19
2009,31.62,0.05,48.06,30.32,54.85,31.18,13.7,96.97