Fund Name,Firm Name,Fund Size US$ Bil.,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,SECID,Firm Total Assets,Firm Total Assets Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08P2L,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DCY,"745,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MAEW,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06VMI,"4,589,491,592.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IB1,"1,080,503,365.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HR6,"1,030,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PVW,"1,030,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04E5D,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000HHDR,"1,200,000,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MEJO,"8,474,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000265K,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H0NA,"3,726,146,966.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04I87,"1,701,023,987.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QVL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06A5S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06A5T,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06A5U,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09KRY,"630,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06NVG,"21,203,625,001.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JXZN,"1,970,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G57,"1,543,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZIT,"2,812,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AQ2,"4,499,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06N0Q,"1,104,000,000.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06C4Z,"1,518,850,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0901K,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FYT,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04E9B,"10,211,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KX5,"3,063,031,708.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000260U,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M1M9,"10,797,360,994.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BFM,"1,701,023,987.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F8G,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HQN,"625,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N54M,"10,869,500,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BCP,"823,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L7A,"193,083.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QPH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QPI,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CG6,"2,329,114,054.00",7/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000264G,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LIB8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LBK,"6,026,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06LOP,"6,026,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GBU,"1,569,196,812.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CFT,"2,329,114,054.00",7/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L2G,"1,700,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HXB,"700,477,281.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ATP,"1,190,847,244.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CU9,"1,190,847,244.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MXOO,"665,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QQC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QQE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QQG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QQI,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08YN6,"2,021,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000005M50,"2,021,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA088KE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L61,"1,470,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KXQ,"693,198,500.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MUR,"29,706,000,000.00",6/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B4F,"2,270,017,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0905T,"5,485,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000J4P4,"3,523,838,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LC8,"21,203,625,001.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRZG,"2,237,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L9Y,"7,648,180,000.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08Z7S,"873,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MB13,"919,770,352.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CBU,"3,272,106.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06JHX,"1,520,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HJF,"691,988,792.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IR9,"4,700,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ESL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H5A0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GRQ,"772,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B0D,"6,405,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08N4P,"1,427,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08YLH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07Y5S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GVZG,"106,600,000.00",4/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZI9,"22,402,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06JZF,"797,088,555.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G56,"1,543,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08MLI,"513,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06XO2,"640,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06C58,"3,259,816,097.00",12/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06LJK,"505,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FL9,"778,038,009.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GQW,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA090L3,"1,900,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04I6S,"379,185,000.00",2/28/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FLH,"491,069,343.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HLD,"522,094,383.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ALO,"2,171,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CT2,"1,650,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06C5E,"8,428,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HN0,"8,428,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0905F,"29,706,000,000.00",6/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MUZ,"29,706,000,000.00",6/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GA3,"806,994,169.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N6X9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N6X8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06N1F,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MMAA,"1,460,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EAS,"477,800,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EWZ,"470,359,236.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L1M,"1,261,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04E0W,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BL5,"3,345,067,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09KMF,"795,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08SEO,"88,749,477.00",6/30/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HP6,"3,270,265,419.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QPF,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QPG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06BNL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06BN1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CLV,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ANA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NEPS,"451,500,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AYW,"923,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LPGL,"10,869,500,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QRS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07CBL,"444,386,978.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06A6J,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BHF,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GY6S,"440,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EE8,"538,068,451.00",12/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MG5R,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MG5S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CZC,"438,926,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IT3F,"3,523,838,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L2F,"1,700,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F6V,"2,661,462,526.00",7/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C7J,"946,800,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ESO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EZ2,"11,362,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07ZL2,"3,345,067,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HOM,"432,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CM5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000FHS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MPNX,"10,797,360,994.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09KLP,"710,559,727.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ADE,"62,954,097,367.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ADG,"62,954,097,367.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BY2,"14,200,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MUQ,"29,706,000,000.00",6/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06PNT,"127,000,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AU0,"1,350,000,000.00",2/28/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CXF,"1,350,000,000.00",2/28/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04E4G,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MQP4,"695,000,000.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06PJ8,"127,000,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HU8,"3,523,838,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZQP,"18,800,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08NAI,"18,800,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IT40,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MB1S,"3,530,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MS1E,"24,089,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06USK,"2,040,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06VMV,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06VMW,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06VMX,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B6Q,"2,270,017,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D38,"2,221,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AOQ,"95,600,000,000.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LXLR,"95,600,000,000.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MC1E,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MC1C,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MC1D,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ORJ,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OUW,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OUX,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OUY,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OUZ,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OV0,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PAZ,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PB0,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PB6,"413,876,609.00",1/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07ZPZ,"786,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IS4T,"432,626,144.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H693,"3,932,300,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GDY,"1,203,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000002QLE,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000005QB8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0909G,"3,345,067,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MCTO,"481,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08YPN,"245,000,000.00",12/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HJX,"245,000,000.00",12/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HVF,"422,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DAM,"1,131,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KXC,"1,713,194,761.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IRB,"4,700,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GV3L,"388,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04H4Z,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08S90,"105,900,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GGA,"62,954,097,367.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BOG,"127,000,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR053FQ,"763,200,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GFD,"1,720,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IAZ,"1,080,503,365.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0891E,"900,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FZ6,"16,971,700,000.00",11/30/03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GMB,"959,480,906.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09N42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CNN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IDD,"34,100.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IDE,"34,100.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C1C,"34,100.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CPT,"479,600,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CHG,"700,000,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IROC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MSGM,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QOM,"193,083.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DCF,"2,812,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EZ1,"11,362,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRIB,"755,765,674.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0885V,"755,765,674.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0891F,"900,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GUSK,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GUSL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KZY,"3,076,654,723.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06M1H,"363,400,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AFY,"95,600,000,000.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CG8,"2,329,114,054.00",7/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D0P,"1,600,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NKDH,"580,755,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08Z7C,"10,211,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06NVK,"2,078,306,870.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BQ8,"2,533,252,588.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FOD,"7,684,278,363.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IQJ,"7,684,278,363.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06J9K,"755,765,674.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L1B,"1,569,196,812.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L5R,"360,935,473.00",12/31/11
