Fund Name,Firm Name,Fund Size US$ Bil.,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,SECID,Firm Total Assets,Firm Total Assets Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ALQ,"2,171,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HNR,"500,000,000.00",9/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DQQ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZBB,"650,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000HLAY,"650,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000HLB3,"650,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06ABG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06ABH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000EZH,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06J18,"496,781,298.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N51L,"557,578,977.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N4YH,"557,578,977.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N5IW,"10,869,500,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FPC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M9OJ,"10,869,500,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRRI,"530,335,686.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRS2,"530,335,686.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06XRU,"203,516,495.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CC3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LIZ,"2,740,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HKG,"455,760,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DMC,"603,065,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BM1,"41,163,300,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JVOO,"125,900,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08SQI,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AC6,"426,500,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MJM4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09L7X,"185,138,552.00",9/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LID9,"422,520,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AM7,"415,759,726.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AM8,"415,759,726.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CB2,"4,000,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AJ0,"218,691,820.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HZK,"124,200,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DVD,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DNS,"288,500,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D0M,"947,704,929.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000HLAK,"1,713,194,761.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GUK,"160,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09GQG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ADB,"62,954,097,367.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MILE,"2,270,017,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DIE,"1,300,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04I81,"2,590,000,000.00",3/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRIN,"482,700,000.00",8/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRIO,"482,700,000.00",8/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRIM,"482,700,000.00",8/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MOMV,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C1P,"107,134,468.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QQS,"324,597,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LZ7E,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MG6A,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08NBV,"95,600,000,000.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EJU,"72,981,562,178.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C7W,"134,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HUD,"1,600,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08SP8,"1,221,588,345.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OPM,"484,700,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR04ND7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR0619S,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA090C7,"3,152,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CFQ,"1,003,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KZR,"3,152,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EZD,"119,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N51B,"557,578,977.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N51A,"557,578,977.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F4W,"1,332,400,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BED,"129,430,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000J5E6,"1,058,191,501.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B40,"6,623,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CX1,"347,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06GON,"1,131,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05TZX,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06GOR,"852,350,276.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D0L,"947,704,929.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06N18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09F8Y,"2,716,862,901.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GSP,"90,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA085YS,"6,900,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06GOT,"852,350,276.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MUIA,"740,100,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MUIB,"740,100,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MUI9,"740,100,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MUIC,"740,100,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GWN,"139,900,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AFW,"95,600,000,000.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04I3B,"34,224,517,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AN8,"718,000,000.00",4/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06UDC,"3,345,067,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EL0,"248,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AL7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AUC,"2,037,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BQG,"105,900,000.00",11/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KZQ,"3,152,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F5X,"3,152,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06A70,"309,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OLD,"813,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DWF,"3,636,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JSD3,"307,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AU9,"2,037,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IBA,"920,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08QT4,"550,000,000.00",1/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000N5ZM,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L4Y,"113,439,946.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04EZ3,"11,362,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000IRVZ,"11,362,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06U03,"1,000,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CQV,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04IBR,"959,480,906.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04ASF,"1,456,470,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09K0R,"6,870,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GVMH,"2,349,000,000.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HMT,"112,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06XQJ,"112,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07ZP2,"112,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000ISA5,"514,308,924.00",9/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M9QR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09KSW,"113,268,297.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09JHT,"11,740,962,444.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DHE,"11,740,962,444.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B4D,"2,270,017,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0802A,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA0904J,"137,800,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04H4C,"1,000,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MLK5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KVG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M10Z,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B6U,"31,300,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IRW,"4,601,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IS3,"4,601,700,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04D3B,"545,000,000.00",2/28/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06IR5,"115,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LZ71,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MGF7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BEU,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BEY,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000EZJ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KZV,"150,000,000.00",7/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F6D,"150,000,000.00",7/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MFOU,"150,000,000.00",7/31/09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA090LV,"391,355,582.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09L1P,"310,500,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B6K,"333,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA07XFJ,"236,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06UU6,"2,641,823,366.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JSL0,"8,610,202,091.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JSKZ,"8,610,202,091.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DR6,"33,148,733,336.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MHIL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06A4G,"10,211,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08PTO,"1,261,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CTV,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06LNY,"1,974,590,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JZET,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JZES,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MEFP,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04HIQ,"350,000,000.00",3/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LIH,"238,500,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BHO,"21,101,500,000.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06MUP,"29,706,000,000.00",6/30/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AUB,"2,037,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04AZ4,"243,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000GW8J,"7,000,000,000.00",8/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BCS,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR06BCU,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04C7T,"105,933,187.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CCQ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BOI,"127,000,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L40,"1,058,191,501.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04G5X,"105,400,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08XHO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08XHQ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BOK,"127,000,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FL4,"300,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JNFM,"558,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HK6,"143,124,193.00",11/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0GBR05VD2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06UT1,"142,420,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05KVI,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08Y8X,"130,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CX3,"347,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06U5R,"1,900,000,000.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05L59,"130,000,000.00",10/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08ZJW,"951,874,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000MA0Y,"990,074,840.00",10/31/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA05LEX,"338,400,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000NA6T,"199,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04BL4,"3,345,067,000,000.00",9/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04CFD,"317,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JTJ6,"317,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000JTJ5,"317,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06A72,"107,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06HN2,"8,428,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08OKO,"8,428,000,000.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04FSU,"297,816,529.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000CCK,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000000ARI,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000H6DG,"99,277,224,542.00",3/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000M895,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09J7O,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B3T,"180,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F00000LZB1,"120,322,170.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GXU,"6,629,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GBT,"1,569,196,812.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04DWE,"3,636,800,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06OP8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04F8Q,"12,483,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA06JHY,"1,520,000,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04B1Z,"666,727,000.00",12/31/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FHUSA04GX5,"3,726,146,966.00",6/30/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F000005QLK,"6,186,841,665.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA09KQO,"105,669,100.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOUSA08N44,"105,669,100.00",1/31/12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eightieth Percentile,,,2.53,-1.11,8.46,4.45,4.58,7.76,6.37,-27.57,6.75,4.4,-8.83,,,,,,,,,,,,,,,,,,,,"422,312,000.00",
Sixtieth Percentile,,,7.52,2.97,12.56,7.18,7.36,10.71,10.13,-19.14,13.26,7.06,-4.82,,,,,,,,,,,,,,,,,,,,"994,952,000.00",
Fortieth Percentile,,,10.91,6.06,19.37,10.17,10.11,13.28,14.16,-9,20.02,10.52,-1.72,,,,,,,,,,,,,,,,,,,,"2,233,800,000.00",
Twentieth Percentile,,,16.89,14.79,33,16.78,14.77,18.8,21.32,7.69,35.75,16.34,4.04,,,,,,,,,,,,,,,,,,,,"7,385,500,000.00",
Sum,,,"3,859.07","2,742.86","12,068.13","6,103.34","7,498.68","11,342.95","13,154.82","-10,752.88","24,301.19","11,821.74","-2,534.05",,,,,,,,,,,,,,,,,,,,"30,965,946,507,537.00",
Average,,,11.15,6.55,25.09,10.8,11.16,14.47,15.17,-11.21,24.04,10.97,-2.65,,,,,,,,,,,,,,,,,,,,"35,029,351,252.87",
Count,,"1,192",346,419,481,565,672,784,867,959,"1,011","1,078",957,,,,,,,,,,,,,,,,,,,,884,884
Maximum,,,135.53,64.79,"1,475.57",89.88,172.38,139.15,199.82,108.92,229.13,95.67,99.64,,,,,,,,,,,,,,,,,,,,"3,345,067,000,000.00",
Minimum,,,-22.16,-37.21,-13.41,-16.68,-16.97,-15.74,-23.14,-91.54,-68.5,-55.93,-77.96,,,,,,,,,,,,,,,,,,,,"34,100.00",
Median,,,9.44,4.53,15.43,8.46,8.71,12.05,12.17,-15.34,16.14,8.49,-3.23,,,,,,,,,,,,,,,,,,,,"1,518,850,000.00",
Standard Deviation,,,14.31,12.81,69.6,11.09,12.78,12.54,15.6,24.49,29.07,11.26,10.45,,,,,,,,,,,,,,,,,,,,"296,827,623,387.15",