Year,Mkt-RF,H,L,HML,S,B,SMB,U,D,UMD
1927,30.29,35.1,38.73,-3.63,31.38,34.37,-2.99,38.27,15.39,22.88
1928,35.51,33.69,38.83,-5.15,37.93,34.51,3.43,50.31,22.81,27.51
1929,-19.76,-20.61,-32.53,11.92,-37.64,-7.85,-29.79,-21.15,-42.41,21.27
1930,-31.24,-44.35,-30.85,-13.5,-37.56,-33.06,-4.5,-23.19,-49.61,26.42
1931,-45.44,-54.79,-38.86,-15.93,-47.24,-51.47,4.23,-35.33,-59.61,24.28
1932,-9.43,-0.77,-6.31,5.54,-3.82,-9.45,5.63,-14.08,5.44,-19.52
1933,57.2,120.35,105.2,15.15,136.94,82.88,54.07,109.53,90.01,19.53
1934,4.09,-6.91,22.45,-29.36,20.65,-4.66,25.31,21.12,2.97,18.15
1935,44.7,52.35,39.12,13.23,55.35,46.7,8.64,68.88,47.71,21.18
1936,31.97,61.43,32.23,29.21,53.67,37.51,16.16,45.9,39.45,6.46
1937,-34.9,-45.56,-41.53,-4.04,-49.17,-35.7,-13.47,-44.23,-41.61,-2.62
1938,28.2,25.81,40.08,-14.27,38.98,26.42,12.57,31.53,30.98,0.55
1939,2.11,-8.57,8.81,-17.38,2.44,-3.03,5.47,3.15,2.5,0.65
1940,-7.43,-6.47,-5.52,-0.95,-4.52,-5.32,0.8,-3.67,-9.47,5.8
1941,-9.67,-2.92,-14.59,11.68,-10.69,-6.36,-4.33,-4.01,-13.28,9.28
1942,16.02,34.32,15.24,19.08,26.75,21.45,5.3,16.94,31.98,-15.05
1943,27.7,68.48,33.94,34.54,64.64,33.34,31.3,55.63,41.89,13.74
1944,21.02,46.4,28.22,18.18,43.63,26.77,16.86,41.21,31.01,10.21
1945,38.13,61.34,47.52,13.82,65.4,40.09,25.31,64.31,50.07,14.24
1946,-6.26,-7.78,-9.82,2.04,-9.88,-5.7,-4.18,-7.63,-12.53,4.91
1947,2.88,6.98,-2.51,9.48,-1.97,5.62,-7.59,6.93,-7.4,14.32
1948,1.52,1.03,-1.97,3,-5.81,3.35,-9.16,4.16,-8.19,12.34
1949,18.99,19.82,23.61,-3.79,22.67,19.15,3.51,23.33,22.88,0.45
1950,28.81,54.1,26.85,27.25,38.09,36.92,1.17,43.63,28.07,15.57
1951,19.34,12.84,18.41,-5.58,14.78,19.53,-4.75,24.04,12.56,11.48
1952,11.64,14.74,10.11,4.64,8.74,15.56,-6.82,15.03,6.01,9.02
1953,-1.47,-7.18,1.36,-8.53,-2.29,-1.74,-0.55,5.49,-10.85,16.33
1954,49.31,70.5,45.35,25.15,55.74,57.92,-2.18,59.49,48.98,10.52
1955,23.73,26.68,21.67,5.02,19.72,25.68,-5.96,29.31,15.36,13.96
1956,6.01,5.64,7.27,-1.63,7.53,8,-0.48,16.84,-2.46,19.3
1957,-13.53,-19.63,-12.91,-6.72,-16.03,-13.42,-2.6,-11.29,-21.12,9.84
1958,43.3,71.86,58.9,12.96,68.18,53.48,14.7,52.53,62.41,-9.89
1959,9.62,18.28,16.79,1.49,19.48,13.91,5.57,24.39,5.21,19.18
1960,-1.52,-7.37,-2.1,-5.27,-3.12,-0.9,-2.22,7.4,-10.08,17.48
1961,24.82,30.25,23.93,6.32,27.71,27.42,0.29,33.19,22.78,10.41
1962,-13.05,-6.23,-15.55,9.32,-15.14,-6.61,-8.52,-9.32,-21.26,11.95
1963,17.77,31.16,14.77,16.39,17.91,23.93,-6.02,25.09,13.47,11.63
1964,12.78,21.65,11.25,10.4,16.64,18.04,-1.4,19.1,14.38,4.72
1965,10.47,32.4,24.74,7.66,36.84,15.22,21.62,38.72,18.28,20.44
1966,-13.44,-8.93,-8.09,-0.84,-6.17,-9.02,2.85,-1.89,-12.21,10.33
1967,24.36,50.19,58.67,-8.48,76.15,25.67,50.48,68.12,45.64,22.49
1968,8.95,36.73,18.13,18.6,39.83,15.63,24.2,28.48,25.86,2.62
1969,-17.41,-20.89,-11.07,-9.82,-24.31,-10.19,-14.12,-13.72,-23.63,9.91
1970,-6.44,8.57,-13.49,22.06,-7.61,4.28,-11.9,-8.03,-4.82,-3.21
1971,11.81,14.21,25.23,-11.03,20.6,14.66,5.93,21.74,18.04,3.7
1972,13.5,12.74,11.03,1.72,5.24,16.94,-11.7,16.97,1.71,15.26
1973,-25.68,-15.68,-33.59,17.91,-35.01,-11.62,-23.39,-16.39,-45.74,29.36
1974,-35.95,-20.76,-30.91,10.15,-25.8,-25.03,-0.77,-23.39,-31.44,8.05
1975,31.56,56.83,47.84,8.99,59.25,43.84,15.4,40.15,58.89,-18.74
1976,21.68,52.73,28.01,24.72,48.86,34.26,14.6,37.78,30.37,7.41
1977,-8.1,12.32,4.57,7.75,20.19,-2.99,23.19,15.35,-2.84,18.19
1978,1.36,12.95,12.31,0.65,20.4,5.89,14.51,22.01,10.08,11.93
1979,14.03,31.27,33.02,-1.75,42.3,20.95,21.35,48.33,21.88,26.45
1980,21.98,19.15,44.34,-25.19,35.34,29.55,5.79,57.58,20.45,37.13
1981,-18.7,15.87,-9.3,25.17,6.88,-0.36,7.24,-5.29,2.83,-8.12
1982,9.89,34.31,20.5,13.82,31.49,22.22,9.27,39.83,5.32,34.51
1983,13.85,37.69,17.14,20.55,36.14,22.36,13.78,21.72,31.69,-9.97
1984,-6.68,12.08,-7.29,19.36,-1.07,7,-8.07,2.3,-6.95,9.24
1985,23.69,31.86,31.02,0.84,32.34,32.18,0.16,37.39,22.7,14.69
1986,9.4,17.99,8.67,9.33,9.04,18.69,-9.64,17.14,8.86,8.28
1987,-3.64,-4.32,-3.06,-1.26,-8.14,2.79,-10.93,-0.6,3.26,-3.86
1988,11.2,28.2,13.67,14.54,24.53,18.84,5.69,19.42,24.89,-5.48
1989,20.06,23.76,27.62,-3.86,18.24,30.65,-12.42,34.73,6.87,27.87
1990,-13.92,-18.33,-8.74,-9.59,-19.94,-5.91,-14.02,-7.56,-25.09,17.54
1991,28.04,34.21,48.11,-13.9,46.79,30.95,15.85,53.77,39.19,14.58
1992,5.56,29.69,5.37,24.32,20.89,13.24,7.65,14.42,11.3,3.12
1993,8.69,24.67,5.74,18.93,19.4,13.4,6,27.01,3.53,23.48
1994,-4.67,-2.86,-1.94,-0.92,-2.13,-0.76,-1.38,-0.4,-3.58,3.18
1995,30.07,35.06,33.22,1.84,30.2,37.77,-7.58,40.99,23.09,17.9
1996,15.96,19.6,16.16,3.44,18.88,21,-2.12,22.07,15.42,6.65
1997,25.08,33.05,20.4,12.65,27.03,31.69,-4.66,32.44,20.65,11.79
1998,17.43,10.1,18.76,-8.66,-2.86,22.74,-25.6,22.61,-0.77,23.38
1999,20.58,3.73,37.44,-33.71,25.84,11.04,14.8,45.67,11.08,34.6
2000,-16.97,22.76,-18.33,41.09,6.42,8.39,-1.97,-2.92,-18.02,15.1
2001,-15.12,11.23,-7.26,18.49,13.33,-5.56,18.88,5.19,0.72,4.47
2002,-22.48,-17.2,-27.25,10.05,-17.6,-21.07,3.47,-10,-35.71,25.71
2003,32.12,46.02,41.37,4.66,56.49,28.73,27.76,41.12,65.58,-24.47
2004,11.81,20.94,11.21,9.74,19.08,14.18,4.9,14.04,14.54,-0.5
2005,4.34,10.8,1.85,8.95,5.88,8.12,-2.24,14.73,-0.74,15.47
2006,11.39,23.48,9.14,14.34,18.14,17.64,0.5,11.73,19.57,-7.84
2007,2.65,-4.02,8.47,-12.49,-2.72,5.5,-8.22,11.98,-9.4,21.38
2008,-39.94,-35.5,-36.51,1.01,-34,-38.18,4.18,-36.73,-50.12,13.39